TAG_DATA_DATE,ACTUAL_VALUE,PREDICT_VALUE,RESIDUAL_VALUE
2018-12-08 03:50:00,357.02859,356.55579,0.4728
2018-12-08 03:51:00,357.04199,356.33541,0.70658
2018-12-08 03:52:00,355.97871,356.10087,-0.12216
2018-12-08 03:53:00,355.867,356.33273,-0.46573
2018-12-08 03:54:00,356.52397,356.60781,-0.08384
2018-12-08 03:55:00,356.59299,356.80791,-0.21492
2018-12-08 03:56:00,358.0427,356.46021,1.58249
2018-12-08 03:57:00,358.19501,356.62332,1.57169
2018-12-08 03:58:00,356.96067,356.57656,0.38411
2018-12-08 03:59:00,356.83099,356.66475,0.16624
2018-12-08 04:00:00,357.16311,356.42503,0.73808
2018-12-08 04:01:00,357.198,356.26765,0.93035
2018-12-08 04:02:00,358.33098,356.5535,1.77748
2018-12-08 04:03:00,358.45001,356.70864,1.74137
2018-12-08 04:04:00,357.36952,356.97671,0.39281
2018-12-08 04:05:00,357.25601,356.96265,0.29336
2018-12-08 04:06:00,358.06139,357.03789,1.0235
2018-12-08 04:07:00,358.146,356.84628,1.29972
2018-12-08 04:08:00,356.94698,356.71837,0.22861
2018-12-08 04:09:00,356.82101,356.50094,0.32007
2018-12-08 04:10:00,356.90245,356.83203,0.07042
2018-12-08 04:11:00,356.91101,356.77764,0.13337
2018-12-08 04:12:00,357.64127,356.33653,1.30474
2018-12-08 04:13:00,357.71799,356.97294,0.74505
2018-12-08 04:14:00,357.02029,357.0319,-0.01161
2018-12-08 04:15:00,356.94699,356.55148,0.39551
2018-12-08 04:16:00,357.13343,357.30792,-0.17449
2018-12-08 04:17:00,357.15302,356.93981,0.21321
2018-12-08 04:18:00,357.49325,356.88554,0.60771
2018-12-08 04:19:00,357.52899,356.60969,0.9193
2018-12-08 04:20:00,356.34715,356.8588,-0.51165
2018-12-08 04:21:00,356.22299,356.58484,-0.36185
2018-12-08 04:22:00,356.87545,356.37782,0.49763
2018-12-08 04:23:00,356.944,356.3503,0.5937
2018-12-08 04:24:00,357.40823,356.32286,1.08537
2018-12-08 04:25:00,357.457,356.54795,0.90905
2018-12-08 04:26:00,357.6425,356.75918,0.88332
2018-12-08 04:27:00,357.66199,356.49999,1.162
2018-12-08 04:28:00,357.2937,356.14875,1.14495
2018-12-08 04:29:00,357.255,356.42108,0.83392
2018-12-08 04:30:00,357.35636,356.49745,0.85891
2018-12-08 04:31:00,357.367,356.50761,0.85939
2018-12-08 04:32:00,357.82941,356.80054,1.02887
2018-12-08 04:33:00,357.87799,356.79611,1.08188
2018-12-08 04:34:00,357.55402,356.76633,0.78769
2018-12-08 04:35:00,357.51999,356.6649,0.85509
2018-12-08 04:36:00,356.86755,356.86752,0.00003
2018-12-08 04:37:00,356.79901,356.76715,0.03186
2018-12-08 04:38:00,357.58268,356.69078,0.8919
2018-12-08 04:39:00,357.66501,356.76289,0.90212
2018-12-08 04:40:00,358.50659,357.14559,1.361
2018-12-08 04:41:00,358.595,357.0895,1.5055
2018-12-08 04:42:00,356.80596,357.30876,-0.5028
2018-12-08 04:43:00,356.61801,356.84204,-0.22403
2018-12-08 04:44:00,357.2985,356.75398,0.54452
2018-12-08 04:45:00,357.37,356.83529,0.53471
2018-12-08 04:46:00,356.7818,356.64295,0.13885
2018-12-08 04:47:00,358.36889,356.89179,1.4771
2018-12-08 04:48:00,358.75601,356.7079,2.04811
2018-12-08 04:49:00,358.16897,356.73145,1.43752
2018-12-08 04:50:00,358.207,356.77517,1.43183
2018-12-08 04:51:00,357.59161,356.51631,1.0753
2018-12-08 04:52:00,357.55301,356.93165,0.62136
2018-12-08 04:53:00,357.0968,357.18596,-0.08916
2018-12-08 04:54:00,357.039,356.94903,0.08997
2018-12-08 04:55:00,357.77856,356.86339,0.91517
2018-12-08 04:56:00,357.82401,356.65775,1.16626
2018-12-08 04:57:00,357.69072,356.69724,0.99348
2018-12-08 04:58:00,357.72,356.99627,0.72373
2018-12-08 04:59:00,357.01012,357.05352,-0.0434
2018-12-08 05:00:00,357.05499,357.20667,-0.15168
2018-12-08 05:01:00,357.58722,357.16231,0.42491
2018-12-08 05:02:00,357.54501,357.10659,0.43842
2018-12-08 05:03:00,357.84395,357.21231,0.63164
2018-12-08 05:04:00,357.978,356.8877,1.0903
2018-12-08 05:05:00,357.96371,356.95184,1.01187
2018-12-08 05:06:00,358.147,356.84269,1.30431
2018-12-08 05:07:00,358.28047,356.92111,1.35936
2018-12-08 05:08:00,358.436,357.03402,1.40198
2018-12-08 05:09:00,357.96493,356.90028,1.06465
2018-12-08 05:10:00,357.979,356.61501,1.36399
2018-12-08 05:11:00,357.7714,356.68606,1.08534
2018-12-08 05:12:00,357.918,356.71373,1.20427
2018-12-08 05:13:00,356.42779,356.61468,-0.18689
2018-12-08 05:14:00,356.38101,356.50387,-0.12286
2018-12-08 05:15:00,357.27479,356.46782,0.80697
2018-12-08 05:16:00,357.54099,356.54263,0.99836
2018-12-08 05:17:00,356.98326,356.61399,0.36927
2018-12-08 05:18:00,357.20401,356.69151,0.5125
2018-12-08 05:19:00,356.25549,356.69094,-0.43545
2018-12-08 05:20:00,356.211,356.49662,-0.28562
2018-12-08 05:21:00,357.2686,356.78756,0.48104
2018-12-08 05:22:00,357.388,356.9158,0.4722
2018-12-08 05:23:00,357.30745,356.93183,0.37562
2018-12-08 05:24:00,357.31201,357.12487,0.18714
2018-12-08 05:25:00,357.70256,357.33227,0.37029
2018-12-08 05:26:00,357.694,357.33304,0.36096
2018-12-08 05:27:00,357.51312,357.4983,0.01482
2018-12-08 05:28:00,357.28799,357.32574,-0.03775
2018-12-08 05:29:00,357.94652,357.48666,0.45986
2018-12-08 05:30:00,357.83301,357.80202,0.03099
2018-12-08 05:31:00,358.28045,357.73167,0.54878
2018-12-08 05:32:00,358.10001,357.37747,0.72254
2018-12-08 05:33:00,357.90474,356.98731,0.91743
2018-12-08 05:34:00,357.73001,356.85631,0.8737
2018-12-08 05:35:00,357.79771,357.08272,0.71499
